"COMPANY NAME","PROCEDURES","MICRODERMABRASION","BOTOX","GLYCOLIC/SALICYLIC/LACTIC PEEL// AHA PEEL","OBAGI BLUE/TCA PEEL","JESSNER PEEL","RESTYLANE","JUVEDERM XC","RADIESSE/RADIANCE","SCULPTRA","BELOTERO","PERLANE","FAT INJECTION","KYBELLA","CALLS","","","","","","","","","",""
"Relax At Thai Elite Spa ","","***","","","","2000","2000","2000","2000","2000","2000","2000","","","","","","","","","","","","",""
"Eternal Clinic","","400","","***","***","","","","","","","","","","","","","","","","","","","",""
"Awazen ","","","***","","","","","","","","","","","","","","","","","","","","","",""
"Biolite Skin Clinic ","","750","800","","","","","","","","","","","","","","","","","","","","","",""
"Cocoona Centre of Aesthetic Transformation ","","","","","","","","","","","","2500","3000","3000","","","","","","","","","","",""
"MIdas Touch Med Spa","","","","","","","***","***","***","***","","","","","","","","","","","","","","",""
"Simply Skin Medical Spa","","***","***","","","","","","","","","","","","","","","","","","","","","",""
"Borna Medical Spa Laser Center branch","","***","***","","","","","","","","","","","","","","","","","","","","","",""
"Obagi MediSpa","","","***","","obagi-***","","","","","","","","","","","","","","","","","","","",""
"Seagull Medical Center","","***","***","","","","","","","","","","","","","","","","","","","","","",""
"Bionix Body Designers, Medical Spa, Slimming, Weight Loss, Laser Center","","***","","","","","","","","","","","","","","","","","","","","","","",""
"TruCare Clinics","","","","500","500","","","","","","","","","","","","","","","","","","","",""
"EuroMed Clinic Center - Dubai","","***","","***","***","","","","","","","","","","","","","","","","","","","",""
"Pro Derma Medical Line Medical Spa LLC","","600","45","","1200","","","1600","","","","","","","","","","","","","","","","",""
"Dubai Cosmetic Surgery","","***","***","","","","","***","","","","","***","","","","","","","","","","","",""
"the Dental SPA Dental And Medical Center","","***","***","","","","","","","","","","","","","","","","","","","","","",""
"Beauty Connection Spa","","***","","***","","","","","","","","","","","","","","","","","","","","",""
"Asian Beauty Centre","","***","","","","","","","","","","","","","","","","","","","","","","",""
"Alkhayal Medical Centre","","","","","350","","","","","","","","","","","","","","","","","","","",""
"Cosmocare Dermatology PRP Therapy & STD Clinic Dubai","","","","","","","***","","","","","***","","","","","","","","","","","","",""
"Lucia Aesthetic & Dermatology Center","","","50","800","","","1600","1600","","","","","","","","","","","","","","","","",""
"Imperial Healthcare Institute","","","***","","","","***","***","","","","","","","","","","","","","","","","",""
"CosmeSurge ","","***","***","***","***","","","","","","","","","","","","","","","","","","","",""
"Cooper Dermatology & Dentistry Clinic","","400","1900","","","","1900","","1900","","","","","","","","","","","","","","","",""
"Dr. Ali Al Tukmatchy - Dermatology & Venereology Clinic","","***","***","","","","","","","","","","","","","","","","","","","","","",""
"Irish Medical Clinic LLC, Dubai","","","***","","","","","","","","","","","","","","","","","","","","","",""
"Shamma Medical Center","","","","","","","***","","","","","","","","","","","","","","","","","",""
"Kaya Skin Clinic - Town Centre Mall, Jumeirah, Beach Road, Dubai, UAE","","","***","","","","","","","","","","","","","","","","","","","","","",""
"Dr. Suad Lutfi Dermatology & Laser Clinic","","","***","","","","","","","","","","","","","","","","","","","","","",""
"Lesprit Medical Clinic","","***","","","","","***","***","***","***","","***","","","","","","","","","","","","",""
"iCARE Clinics - Multi-Specialty Clinic in Dubai","","***","***","","","","","","","","","","","","","","","","","","","","","",""
"KindCare Medical Center","","***","***","","","","","","","","","","","","","","","","","","","","","",""
"Cosmetrix Plastic Surgery Center Dubai","","","","800","","","","","","","","","","","","","","","","","","","","",""
"Dr. Hala Fadli Clinic ","","***","***","","","","","","***","***","","","","","","","","","","","","","","",""
"Dr. Mahaveer Mehta Medical Center","","","","","***","","","","","","","","","","","","","","","","","","","",""
"Medart Clinics","","","***","","","","","","","","","","","","","","","","","","","","","",""
"Ibrahim Galadari Derma Clinic","","","***","","","","","","","","","","","","","","","","","","","","","",""
"TruCare Clinics","","","","","","","","","","","","","","","","","","","","","","","","",""
"Al Shunnar Plastic Surgery","","600","55","800","","","3000","3000","3000","","","3000","","","","","","","","","","","","",""
"European Medical Center and Aesthetic Surgery","","","***","","","","","","","","","","","","","","","","","","","","","",""
"SunFace Medical Aesthetic Centre","","","***","","","","","","","","","","","","","","","","","","","","","",""
"International Aesthetic Medical Centre","","***","***","","","","","","","","","","","","","","","","","","","","","",""
"Dubai Cosmetic Surgery","","***","***","","","","","***","","","","","","","","","","","","","","","","",""
"The Private Clinic - Medical & Aesthetic Centre","","***","***","***","***","","","","","","","","","","","","","","","","","","","",""
"The British Lasik & Cosmetic Surgery Center","","***","***","","","","","","","","","","","","","","","","","","","","","",""
"Elite Plastic & Cosmetic Surgery Group","","","","","obagi-***","","***","***","","","","***","","","","","","","","","","","","",""
"Silkor Laser & Aesthetic Center","","***","***","","***","","","","","","","","","","","","","","","","","","","",""
"Dr. Kayle ","","***","***","","","","","","","","","","","","","","","","","","","","","",""
"Drs. Nicolas & Asp Dental, Medical & Aesthetic Clinic Rimal, Dubai","","***","","","obagi-***","","***","***","***","","","","","","","","","","","","","","","",""
"Aesthetics International - Dr. Jaffer Khan","","600","","","600","","","","","","","","","","","","","","","","","","","",""
"Bella Roma Medical & Aesthetic Surgery Center","","","***","***","***","","","","","","","","","","","","","","","","","","","",""
"Aestheticon","","***","***","","","","","","","","","","","","","","","","","","","","","",""
"Vilafortuny Laser Centre -Dentistry,Plastic and Aesthetic Surgery ","","***","***","","","","","***","","","***","","","","","","","","","","","","","",""
"Amanika Aesthetics in New Health-Call Clinic","","","","***","***","","","","","","","","","","","","","","","","","","","",""
"American British Surgical & Medical Centre","","","","","1500","","2500","","2500","","","","","","","","","","","","","","","",""
"Aesthetic Polyclinic","","","***","***","***","","","","","","","","","","","","","","","","","","","",""
"Riva Laser Medical Center","","","","","","","","","","","","","","","","","","","","","","","","",""
"French Dental & Aesthetic Center","","","***","","","","","","","","","","","","","","","","","","","","","",""
"Dr Matteo Vigo Cosmetic, Breast, Plastic Surgery, Botox in Dubai UAE","","***","***","","","","","","","","","","","","","","","","","","","","","",""
"Cosmocare Dermatology PRP Therapy & STD Clinic Dubai","","","","","","","***","","","","","***","","","","","","","","","","","","",""
"Dermaline Skin & Laser Clinic ","","","***","","","","","","","","","","","","","","","","","","","","","",""
"Cosmo Secrets Medical Centre","","159","299","","","","","","","","","","","","","","","","","","","","","",""
"AIG Clinics Jumeirah - Plastic Surgery Dubai ","","","","","","","","","","","","","","","","","","","","","","","","",""
"KindCare Medical Center ","","***","","","","","","","","","","","","","","","","","","","","","","",""
"Canadian Medical Cosmetic Center","","***","***","","***","","","","","","","","","","","","","","","","","","","",""
"Art of Beauty Center","","","","","","","","","","","","","","","","","","","","","","","","",""
"Borna Medical Spa Laser Center branch","","***","***","","","","","","","","","","","","","","","","","","","","","",""
"Montreal International Clinics","","","","","","","","","","","","","","","","","","","","","","","","",""
"OCP Medical Center L.L.C.","","179","400","","","","1600","","","","","","","","","","","","","","","","","",""
"Drs. Hadi & Hofmann Medical Center ","","","","","","","","","","","","","","","","","","","","","","","","",""
"Minal Specialised Clinic Dermatology","","***","***","","","","","","","","","","","","","","","","","","","","","",""
"Bodyworx Medical Center ","","","1000","","","","","","","","","","","","","","","","","","","","","",""
"Dew Derm Aesthetics & Dermatology","","***","","***","***","","","","","","","","","","","","","","","","","","","",""
"Harley Street Medical Centre - Abu Dhabi","","***","***","","***","","***","***","***","","","***","","","","","","","","","","","","",""
"Visage Polyclinic","","***","***","","","","","","","","","","","","","","","","","","","","","",""
"Archer Dental and Dermatology Center LLC","","","***","","","","","","","","","","","","","","","","","","","","","",""
"Corpofino Dermatology Clinic","","***","***","***","***","","","","","","","","","","","","","","","","","","","",""
"Dr. Ahmed Abu Sharia Medical Centre","","***","","","","","","","","","","","","","","","","","","","","","","",""
"Ibn Nafees Medical Center","","***","***","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
